Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,097085,2000,12,22.8
IDCJAC0003,097085,2001,01,21.4
IDCJAC0003,097085,2001,02,18.8
IDCJAC0003,097085,2001,03,13.1
IDCJAC0003,097085,2001,04,7.8
IDCJAC0003,097085,2001,05,6.6
IDCJAC0003,097085,2001,06,3.1
IDCJAC0003,097085,2001,07,5.8
IDCJAC0003,097085,2001,08,6.1
IDCJAC0003,097085,2001,09,10.7
IDCJAC0003,097085,2001,10,15.4
IDCJAC0003,097085,2001,11,18.9
IDCJAC0003,097085,2001,12,18.9
IDCJAC0003,097085,2002,01,18.8
IDCJAC0003,097085,2002,02,19.4
IDCJAC0003,097085,2002,03,13.1
IDCJAC0003,097085,2002,04,10.6
IDCJAC0003,097085,2002,05,6.1
IDCJAC0003,097085,2002,06,3.6
IDCJAC0003,097085,2002,07,4.2
IDCJAC0003,097085,2002,08,7.6
IDCJAC0003,097085,2002,09,11.5
IDCJAC0003,097085,2002,10,14.2
IDCJAC0003,097085,2002,11,19.5
IDCJAC0003,097085,2002,12,20.9
IDCJAC0003,097085,2003,01,21.8
IDCJAC0003,097085,2003,02,20.1
IDCJAC0003,097085,2003,03,14.0
IDCJAC0003,097085,2003,04,10.1
IDCJAC0003,097085,2003,05,6.3
IDCJAC0003,097085,2003,06,3.7
IDCJAC0003,097085,2003,07,4.4
IDCJAC0003,097085,2003,08,7.3
IDCJAC0003,097085,2003,09,9.4
IDCJAC0003,097085,2003,10,16.7
IDCJAC0003,097085,2003,11,23.0
IDCJAC0003,097085,2003,12,21.3
IDCJAC0003,097085,2004,01,18.4
IDCJAC0003,097085,2004,02,20.8
IDCJAC0003,097085,2004,03,13.1
IDCJAC0003,097085,2004,04,8.7
IDCJAC0003,097085,2004,05,4.9
IDCJAC0003,097085,2004,06,3.1
IDCJAC0003,097085,2004,07,4.9
IDCJAC0003,097085,2004,08,7.7
IDCJAC0003,097085,2004,09,10.4
IDCJAC0003,097085,2004,10,17.2
IDCJAC0003,097085,2004,11,16.0
IDCJAC0003,097085,2004,12,22.0
IDCJAC0003,097085,2005,01,21.6
IDCJAC0003,097085,2005,02,17.7
IDCJAC0003,097085,2005,03,14.0
IDCJAC0003,097085,2005,04,8.8
IDCJAC0003,097085,2005,05,5.5
IDCJAC0003,097085,2005,06,4.7
IDCJAC0003,097085,2005,07,4.2
IDCJAC0003,097085,2005,08,6.3
IDCJAC0003,097085,2005,09,11.6
IDCJAC0003,097085,2005,10,16.6
IDCJAC0003,097085,2005,11,17.8
