"test","year","month"
24.1002582550049,1959,1
18.1484283447265,1959,2
14.1908388519287,1959,3
9.78666687011716,1959,4
6.59148387908934,1959,5
4.86186660766599,1959,6
5.41935491561887,1959,7
9.37070941925048,1959,8
13.4113335418701,1959,9
19.1781938171386,1959,10
19.5362661743164,1959,11
19.7175481414794,1959,12
23.6126445007324,1960,1
18.4718621826172,1960,2
13.9303225708008,1960,3
8.5339999771118,1960,4
5.08980646133419,1960,5
5.97866672515867,1960,6
5.06541938781734,1960,7
9.18838718414303,1960,8
12.3941329956054,1960,9
17.4345807647705,1960,10
18.5201334381103,1960,11
25.3321293640137,1960,12
25.4725160980225,1961,1
19.9018576049804,1961,2
14.8135482788085,1961,3
8.87133342742918,1961,4
6.03458070755003,1961,5
4.96426656723019,1961,6
5.75574195861811,1961,7
9.12141933441158,1961,8
14.5262666320801,1961,9
15.5207739639282,1961,10
19.6896004486084,1961,11
21.3874842834473,1961,12
23.8445162200928,1962,1
19.5015710449219,1962,2
13.0529032516479,1962,3
10.5185330963135,1962,4
5.84335498809811,1962,5
4.49986675262449,1962,6
5.12825803756712,1962,7
7.80954833984371,1962,8
12.5821334075927,1962,9
15.599999923706,1962,10
21.5801335144043,1962,11
22.3348391723632,1962,12
20.5860649871826,1963,1
19.0447148895264,1963,2
14.4860646057129,1963,3
10.2232000350952,1963,4
7.46116132736203,1963,5
5.3459999656677,1963,6
5.19870958328242,1963,7
8.52348361968992,1963,8
12.9027996444702,1963,9
16.8747094726563,1963,10
19.1845337677001,1963,11
24.2649038696289,1963,12
18.106322555542,1964,1
15.9264824676513,1964,2
14.1366450500488,1964,3
8.80946662902831,1964,4
5.64154834747311,1964,5
4.8795999717712,1964,6
5.0028388023376,1964,7
7.14180643081659,1964,8
10.6859998703002,1964,9
15.8899353790282,1964,10
18.8246672058105,1964,11
17.5392262268065,1964,12
22.1372906494141,1965,1
21.2879998016358,1965,2
13.6292903518677,1965,3
9.80919979095456,1965,4
5.57819356918333,1965,5
4.39440013885495,1965,6
5.5196129798889,1965,7
7.77574176788327,1965,8
10.5279998397827,1965,9
18.8194835662842,1965,10
19.4234671020507,1965,11
22.95638671875,1965,12
23.9207737731934,1966,1
17.7158564758301,1966,2
13.4209030914307,1966,3
8.1473332214355,1966,4
5.60335483551024,1966,5
4.59586677551267,1966,6
5.468258190155,1966,7
7.86735466003414,1966,8
10.869999923706,1966,9
16.4285163879394,1966,10
19.2537337493896,1966,11
20.8519995117187,1966,12
21.1680005645752,1967,1
21.0507141876221,1967,2
14.8056776809692,1967,3
9.82159980773926,1967,4
7.09574184417724,1967,5
4.67973344802855,1967,6
5.54851610183714,1967,7
7.9419356155395,1967,8
10.8763998794555,1967,9
15.3574192810058,1967,10
17.9428003692627,1967,11
20.5539353942871,1967,12
23.9594835662842,1968,1
17.9078620910644,1968,2
12.6704518508911,1968,3
7.0939999580383,1968,4
4.63522577285763,1968,5
4.14786678314205,1968,6
4.38541955947872,1968,7
6.6980645179748,1968,8
9.60413352966304,1968,9
13.70129032135,1968,10
14.5120000839233,1968,11
21.7119998931885,1968,12
21.4592266082764,1969,1
15.8218570709228,1969,2
13.7437422561645,1969,3
7.83319995880124,1969,4
5.82077436447141,1969,5
5.16893327713009,1969,6
4.0779355049133,1969,7
7.89290309906002,1969,8
9.80053329467767,1969,9
17.3967743682861,1969,10
18.2437338256836,1969,11
18.4442578887939,1969,12
19.7340644073486,1970,1
19.1428569793701,1970,2
14.2714841079712,1970,3
8.53586677551267,1970,4
5.84400014877317,1970,5
4.87066677093502,1970,6
4.05858068466182,1970,7
7.44335498809811,1970,8
11.0157335662841,1970,9
14.4291610717773,1970,10
20.8438665008545,1970,11
19.1237423706054,1970,12
21.1060640716552,1971,1
18.9155717468261,1971,2
15.4895481109619,1971,3
9.94213352203367,1971,4
6.12735481262203,1971,5
4.66866659164427,1971,6
5.60503225326536,1971,7
6.807225780487,1971,8
9.94039997100825,1971,9
12.3667095184326,1971,10
18.0014667510986,1971,11
19.4197425842285,1971,12
21.8652899169921,1972,1
19.1262073516845,1972,2
15.2889031982422,1972,3
9.95266632080077,1972,4
6.80967752456664,1972,5
5.07759992599486,1972,6
4.69393539428707,1972,7
8.01445167541502,1972,8
11.1192002868652,1972,9
17.7793550109863,1972,10
20.9988003540039,1972,11
20.9618067932129,1972,12
19.8197418212891,1973,1
18.6124292755126,1973,2
12.8929033279419,1973,3
8.63106647491453,1973,4
4.83987081527707,1973,5
5.13226663589475,1973,6
5.76903217315672,1973,7
7.8300646972656,1973,8
10.5302668762207,1973,9
15.9971612548828,1973,10
19.4338663482666,1973,11
20.3763875579834,1973,12
24.7615482330322,1974,1
18.8149999999999,1974,2
13.3789677429199,1974,3
8.66666645050043,1974,4
7.35819337844847,1974,5
4.86093317031856,1974,6
5.40425825119014,1974,7
8.50193534851069,1974,8
10.0427996826171,1974,9
15.8348388671875,1974,10
19.8303997802734,1974,11
17.3371608734131,1974,12
20.4241284942627,1975,1
20.4391426849365,1975,2
12.8641291809082,1975,3
