"","MRD01N","MRD01E","MRD07NW","MRD2S2","MRD4N","MRD2NW","MRD2NE","MRD5NE","MRD5W","MRD5S","MRD8E","MRD8SW","MRD9E","MRD10N","MRD10SE","MRD10E","MRD12S","MRD12NE","MRD12NW","MRD13NE","MRD13W","MRD14NW","MRD14W","MRD18N","MRD18N2","MRD27A","MRD28NW","RR02SE","RR02N","RR11W","RR11NW","RR12S","RR12N","RR15E","MRR08N","MRR08NW","MRD52A","MRD605C","MRD617C","MRD612C","MRD604B","MRD601D","MRD616C","MRD619C","MRD602C","MRD604C","MRD619A","MRD603C","MRD605A","MRD605B","MRD617A","MRD617B","MRD607C","MRD618C","MRD608B"
"1960",0.897629579758493,0.45238123026338,0.807559018860014,0.773274235961046,0.727704911770364,0.9717656998048,0.816058571283561,0.514611661505899,0.769855229663851,0.982675710788448,0.896841274364026,0.00240802507749364,0.723244199306307,0.854838888349931,1.09210046469114,0.894975243149247,1.05707933640238,0.972926749557621,1.19052887477047,0.990768960773202,0.989325846834539,1.13286966246432,1.10169640536119,0.167720834434749,1.07950458936725,0.658488755943028,0.00153452928052627,1.13208361719973,0.9398828800869,0.44858740717943,0.658347769364557,0.975890287341236,1.29735806386333,1.2697188372082,0.936606223954944,1.07929707849715,1.00833019224248,0.859642859066128,1.11754803523985,1.01696724841839,0.703505665470286,0.955632888126116,1.20912623388809,1.01819121023876,1.00872346510469,0.547178504745056,0.87199602174791,0.519665732504275,0.725592016042805,0.541723870055239,1.20065348563867,1.21598285578616,1.07467183612487,1.15407889405452,0.836089912377445
"1961",0.915396948503587,0.40316640427136,0.861669740080278,0.817280800533612,0.396140831751932,0.871069767136817,0.746822435091196,0.66018754245057,0.654620025572493,0.817954485869231,0.842923453640575,0.00241352462740086,0.716703266889452,0.769856436309828,0.918345259171169,0.903316902373786,0.983840522780845,0.967303175963516,1.00283549488822,0.956545554415284,0.928380587553325,0.853412421263041,0.92929242869256,0.952404822032364,0.688467244589435,0.515518077856545,0.594192843743511,1.09198077783574,0.851293590836351,0.319555281936997,0.667362108920056,1.057067918626,1.31857727436979,1.51138279126688,0.903996043791863,0.930830062859608,0.97734726236742,0.704837183266254,0.942280242235605,0.82272609526819,0.675552008951845,0.807160740208163,1.08975234742903,1.05367508943259,0.916344229694743,0.877691365360145,1.06016720526502,0.623444193307729,0.545256207317732,0.466622604855927,0.981917129839429,1.00943992719041,0.993573067875065,0.866057470922975,0.736369201961364
"1962",0.892074947168153,0.34534794668639,0.811323881477317,0.754641730575315,0.584338186369257,0.749231711681526,0.722597885456339,0.636857794405958,0.830909496683107,0.790542041695624,0.897542520464499,0.00241902713619773,0.7493222289519,0.773608522351877,0.954399853410868,0.901309577520788,0.912387968295185,0.872145162212256,1.04355022669052,0.968648968237568,0.944877051479285,0.913860013093403,0.961306885557333,0.954247757895586,0.716554083079657,0.378254644761855,0.895595080423846,1.00879015187341,0.749321078112062,0.314191435447677,0.517038544173712,0.753973372171703,1.09980377649962,0.889148088629737,0.925253504530748,0.561718617395646,0.960005192836098,0.668852307430131,1.08172770222285,0.917485965875534,0.80923885802922,0.769798725086345,1.07854779406903,0.935966421757338,0.967892550649757,0.950839691615936,0.92450856243052,0.579857102410726,0.283525045024915,0.422780016592875,1.13980572292423,1.20033464650028,0.981684969167675,0.972053046937263,0.679691209615703
"1963",0.926080625289271,0.692550463282942,0.890898832207252,0.82563163588185,0.81483796351004,0.841356990873098,0.868357800054391,0.746406137456486,0.875659945099062,0.925021505446094,0.967997755650808,0.00242453257654393,0.83137163700418,0.798606764240664,0.979135895396656,0.852567573566958,0.881327528174451,0.942856134013066,1.04924697988104,1.0338212532303,1.00454667867465,0.966089835541454,1.07284091251546,0.956091617992077,0.785924012852023,0.690704285529071,0.710286647065788,0.972638266821171,0.788224735922286,0.00164402182171197,0.804131457707666,0.911155638371664,1.15188469556996,1.06364339656063,0.990634483674865,1.01334410925058,0.992112085065773,0.805550826605286,1.18052438363604,1.10287169713065,0.854861036521478,0.91055197978544,1.03717578264755,0.979718530452544,0.95609096065862,0.959741339789284,1.01548299822026,0.73578442022511,0.568459715713373,0.49565588101253,1.22051569073006,1.26820773466319,0.980526468327393,1.00324198148319,0.827692602021632
"1964",0.847419432840155,0.641015050483751,0.74949986695577,0.739892251091478,0.733660940854144,0.928214662260365,0.833288221074998,0.741640517452946,0.700036144137854,0.955185707203363,0.812411566455096,0.00243004095733739,0.811851650453494,0.815315488926004,1.07415744304891,0.889043191922923,0.872980386407123,0.954891695911725,1.10505527005281,0.957862435316998,1.10013374067359,0.934872769221732,1.00559769650374,0.281262895215865,0.428004638767174,0.608611177999345,0.873042154278145,1.14916220587924,0.843196176419232,0.766553191078514,0.874597961811014,1.089898345977,1.21671554834176,1.07815355210139,0.889461326634033,0.852275738754026,0.878651510515305,0.684170211085501,1.17722493904285,0.943762583230208,0.64956043537841,0.980932705048984,0.985719570894759,0.923528419884956,1.01322770819304,0.764650446920048,0.810336607237725,0.708505722299914,0.619639159205839,0.411458289534306,1.2181932037244,1.08482112475661,0.980859134609124,1.0920139588197,0.667480863394313
"1965",0.880977377752066,0.810352081743756,0.890990646152139,0.744448329622793,0.912460980302887,0.98000960641123,0.915005271913164,0.897596980449304,0.810718460373577,1.0865359366688,1.01987250376255,0.00243555232445634,0.833003813007684,0.869661185554574,1.08520144194657,0.938624212243174,0.918816286310205,1.05354688349293,1.18547116343831,0.987131496013715,1.24035876635791,1.00940437410796,1.06091662003376,0.352258255836832,0.317436024771594,0.662889185914479,0.888416700488874,1.07999662105496,0.98404495375179,0.817819398991191,0.944903466103341,1.1001283621582,1.26678005756083,1.39632992081448,1.04904618336769,0.998287117524579,0.916793156787193,0.738242344297531,1.15870610017791,0.848630762485616,0.741840544435747,0.972435647439437,1.12178427634769,1.11394935400462,0.981149322548714,0.90295869723285,1.09780395974723,0.951303159290754,0.690734790322281,0.456669796432615,1.23698722539097,1.1372960014609,0.987035046116733,1.1971700284227,1.05340974503962
"1966",0.87299529144639,0.657673088698763,0.891030052624879,0.851513994068168,0.91100692664249,0.965361034090717,0.84945631447269,0.861608443718873,0.901125226701949,0.948485273171944,1.28122255352208,0.00244106676150582,0.842059724783695,0.799865529901778,1.02797334413241,0.87821431807263,0.79156762665474,0.931787005454947,1.11366171645798,0.950992343162921,1.07573547710708,1.0438056310088,0.993861246957551,0.529647854354643,0.492527218505671,0.500073638007665,1.0361498420527,1.15691953760658,0.844854347017037,0.73568075436903,1.02162153456378,1.12593727772266,1.34560289738312,1.19658904874781,1.13671888855267,1.0725970473299,0.925127223852859,0.628097614164939,1.14359177693645,0.93620907568523,0.911955307282409,1.13476645913576,1.18823432751623,1.17748706647478,0.954328816261794,0.796412633880825,1.19502659559177,0.568626725523525,0.533729595785016,0.588946241136095,1.20795875853287,1.0949138827774,0.989747049170166,1.26461753114811,1.09376986577682
"1967",0.873576363127746,0.924315121328567,0.943843597367054,0.927017871726872,0.89302891609999,1.15919717304189,0.951214231653392,1.12324070197673,0.952173868139384,0.988053263154683,1.24063012327616,0.00244658439056109,0.871221449456122,0.878009080906464,1.12722402020147,0.945451688450517,0.909703376439213,0.928126087848511,1.22622196056794,1.01833999045451,1.21564019322542,1.18354691216913,1.00238373421456,0.384385679770195,0.714254629401748,0.694787967447605,1.19888398875267,1.18753202004956,0.987046081451436,1.10445104964225,1.12621311562518,1.20539912339094,1.34133128917589,1.44830897134022,1.21217076195925,1.12740056323784,1.12224521206445,0.812786923569965,1.20569277535952,1.08355781190465,0.989349635107383,1.12085458792149,1.08298017545009,1.12445854908584,1.35194459074978,0.980627559699766,1.04874437080233,0.630161940169154,0.784161505841183,0.655093186795154,1.23129457269775,1.11547195248838,1.15463861426416,1.34656103708295,1.04446882496409
"1968",0.873513713406758,0.738216521779039,0.820587591459515,0.722944423244062,0.846569917816109,1.02976260424638,0.83977939545724,0.800767940545876,0.997102519340186,0.944824318218134,1.20559447053794,0.00245210537292596,0.75514255141478,0.764444849392486,1.01748280652804,0.88867705052273,0.892211751202183,0.849296377591726,1.13933085093754,0.958923591839561,1.06388102413342,1.03926430369354,0.896489293505283,0.720968307625597,0.50737836093141,0.585112976680845,0.823675144139883,1.13094923782792,0.9889653316828,0.903253638822746,0.862986653006405,1.07669927928433,0.916302186870784,1.28350586815883,0.759582384795277,0.90511543115297,0.684547950025151,0.647245656079172,0.942121306618073,0.801567267717158,1.07454075511878,0.907434198440481,1.01023181796939,0.969685590989193,1.16976895585148,0.736902847940759,1.00243379861185,0.530335569723001,0.610871437779749,0.551492697461499,0.958342081342746,0.870128913170204,1.02655895097916,1.1276944077487,1.17233062820402
"1969",0.890177770099816,0.735788956965441,0.838238272169357,0.926597135495157,0.760456810288942,1.07443150464446,0.858460861612411,0.948081732200253,1.13330025671257,1.15992450498666,1.30100660960765,0.00245762990989066,0.877478698210276,0.824400072218531,1.0861413199338,0.901156560913006,0.963752422741504,0.96126710074146,1.13763264372881,1.05917479078107,1.23838848808167,1.08965529185104,0.932516555460009,0.677244217063978,0.663031552857951,0.724526259576883,0.967357886234024,1.22066059303133,1.00377685959232,0.914079867710445,1.03290697027428,1.15157871330891,0.85449332050456,1.37541072783151,1.08094247306762,0.938158131961609,1.03999250975145,0.619616373640356,1.15136555029207,0.960361941470223,1.35113238158037,0.942741718313858,1.0507493940478,1.08209490208592,1.17871931323791,0.694094285393901,1.01808665191382,0.634039837504611,0.609074975308825,0.750156714084597,1.09099876798963,1.04367690289774,1.06186794404559,1.04790588971412,1.23791637095701
