year,month,gnip,precip,temp,vpd,pet,rad
1959,1,,1.699870996,14.30296741,8.911096687,5.723483658,24.10025826
1959,2,,8.320856991,12.46242882,6.041999989,4.054142818,18.14842834
1959,3,,3.030838661,11.11619377,5.171999931,2.997677431,14.19083885
1959,4,,9.951599922,9.476800156,3.750266724,1.82119998,9.78666687
1959,5,,6.225806427,6.230645294,2.540387154,0.878322589,6.591483879
1959,6,,8.960666466,5.598799934,1.849866667,0.462933345,4.861866608
1959,7,,10.09096794,5.068387012,1.733548403,0.53599999,5.419354916
1959,8,,13.33187065,4.602387085,2.586451626,1.395741916,9.370709419
1959,9,,6.241200047,5.251600151,3.195599909,2.215600042,13.41133354
1959,10,,6.240258121,7.462645035,4.127999878,3.454451656,19.17819382
1959,11,,3.817199965,10.74906635,5.671999912,4.206399803,19.53626617
1959,12,,7.837419205,11.14554821,4.877548504,4.182322502,19.71754814
1960,1,,4.879354763,14.04141922,8.411612892,5.593032169,23.6126445
1960,2,,8.399310093,11.15275852,5.342344875,3.845655193,18.47186218
1960,3,,3.869677401,11.54090317,4.474064636,2.77341938,13.93032257
1960,4,,11.51386684,7.981000023,2.628266649,1.400666666,8.533999977
1960,5,,17.38180706,5.52503233,1.58967741,0.55548389,5.089806461
1960,6,,9.275199966,4.299800014,1.976933355,0.49013334,5.978666725
1960,7,,11.53999989,4.287612953,1.328000002,0.464774199,5.065419388
1960,8,,4.099870968,4.043871021,2.164903164,1.185548353,9.188387184
1960,9,,4.922800026,6.09053318,2.76173337,1.980800018,12.394133
1960,10,,7.391870956,7.714515915,3.827354765,3.135871038,17.43458076
1960,11,,9.9702668,7.224866829,3.364399939,3.381066599,18.52013344
1960,12,,0.974064493,13.20832237,8.303226185,5.798967857,25.33212936
1961,1,,1.847354836,15.4361937,9.752257881,6.23174202,25.4725161
1961,2,,4.593285713,13.52100006,7.373142967,4.52099987,19.9018576
1961,3,,3.273677349,11.61677441,4.946451759,3.044774199,14.81354828
1961,4,,7.710266533,9.579666481,3.200133324,1.658666663,8.871333427
1961,5,,9.710193481,6.555161247,2.018709669,0.686838734,6.034580708
1961,6,,12.28706688,5.466066685,1.817200003,0.445866671,4.964266567
1961,7,,8.154838753,4.2446451,1.956903191,0.590322578,5.755741959
1961,8,,4.143225842,5.283354893,2.461032238,1.270322585,9.121419334
1961,9,,6.933866634,6.903999977,3.920266705,2.533599968,14.52626663
1961,10,,7.187483807,9.098322525,3.781935501,2.970709705,15.52077396
1961,11,,4.806266785,9.794666862,4.525599861,3.824666643,19.68960045
1961,12,,6.031354713,11.88632256,5.57677412,4.546967697,21.38748428
1962,1,,2.163225822,13.18535492,7.735096741,5.472645187,23.84451622
1962,2,,7.814285641,11.86714294,6.177000065,4.273142815,19.50157104
1962,3,,9.207354851,11.44858089,4.44683857,2.658967686,13.05290325
1962,4,,3.597599983,8.694933128,3.356800041,1.720666623,10.5185331
1962,5,,10.00451637,6.331548195,2.041548414,0.703096783,5.843354988
1962,6,,19.1290667,6.27553318,1.683599997,0.412400007,4.499866753
1962,7,,11.01819328,4.77703228,1.917677431,0.548774183,5.128258038
1962,8,,12.24683876,3.95870966,2.115870934,1.083612895,7.80954834
1962,9,,8.940666428,5.714866714,3.341200066,2.193866615,12.58213341
