,603,604,605,606,607,609,611,612,617,619
2004,-23.876749,-23.1029393,-23.34260316,-25.70785173,-23.33974546,-23.48391493,-24.64338792,-23.51290104,-23.66190088,-23.88040145
2005,-24.06590309,-23.48712152,-23.06027838,-25.30206704,-22.69599225,-23.50216851,-24.11797422,-23.24875625,-23.47680724,-23.4879928
2006,-23.62562647,-23.24942853,-22.87482311,-25.0878092,-22.36320888,-24.11711156,-24.14146393,-23.45585308,-23.14376553,-23.41376142
2007,-23.47938632,-23.4827627,-23.46497537,-25.08665586,,-23.77320666,-23.92335699,-23.19160951,-23.07255239,-23.26634487
2008,-23.54637125,-23.24552757,-23.46069801,-25.39686217,,-23.56071388,-23.84039292,-23.64352279,-23.13496611,-23.65642629
2009,-23.69641115,-23.26155198,-23.46602147,-24.86101094,,-23.77390581,-24.51824389,-23.28693936,-23.3567343,-23.58044941
2010,-23.72572723,-23.66373457,-23.33651569,-25.6870452,-22.67937679,-23.96395139,-23.76060696,-23.52434815,-23.06451793,-23.45958163
2011,-23.69837159,-23.17487587,-23.59364886,-25.0912807,-22.61273302,-23.89293189,-24.24022695,-23.58313666,,-23.42897988
2012,-23.99904613,-23.18229347,-23.53351311,-25.44920308,-22.25326618,-23.4440768,-24.08333716,-23.19956658,-23.12179445,-23.74966834
2013,-23.62558142,-23.23370327,-23.64812583,-24.82325621,-22.39000468,-23.80136807,-24.09050033,-23.31987388,-23.07299721,-23.46131376
2014,-24.12213831,-23.31674402,-23.78935575,-25.16084959,-22.14351653,-23.57941384,-24.1106038,-23.88859953,-23.24599337,-23.78618222
2015,-24.18315435,-23.40544201,-23.45256,-24.92757819,-22.38152429,-23.49064403,-24.3881162,-23.80856376,-23.38472846,-24.07559915
2016,-24.05237656,-23.08192321,-23.74340478,-24.83750567,-22.28532362,-23.50366381,-23.69034887,-23.93514933,-23.0434078,-23.83794286
2017,-23.74713391,-22.94888393,-22.91790853,-24.60688329,-22.35158089,-23.64344246,-24.08516375,,-22.915819,-23.52754705
2018,-23.48045409,-22.89719664,-22.94165969,-24.73921944,-22.69433198,-24.18182205,-24.11178057,,-23.14117205,-23.098848
